status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
1,12,1,1,1495,2,5,4,5,1,1,4,38,3,3,2,2,2,1,1,1
2,30,1,2,10623,2,5,3,5,1,4,1,38,3,1,3,4,2,2,1,1
1,12,1,3,1935,2,5,4,5,1,4,4,43,3,3,3,3,1,2,1,1
3,12,1,5,1424,2,4,4,5,1,3,3,26,3,3,1,3,1,1,1,1
2,24,3,10,6568,2,3,2,3,1,2,2,21,2,3,1,2,1,1,1,1
1,12,3,2,1413,5,4,3,5,1,2,3,55,3,3,1,3,1,1,2,1
1,9,1,4,3074,1,3,1,5,1,2,4,33,3,3,2,3,2,1,1,1
1,36,3,4,3835,1,5,2,2,1,4,4,45,3,3,1,2,1,2,1,1
2,27,2,10,5293,2,1,2,5,1,4,3,50,2,3,2,3,1,2,1,0
4,30,0,10,1908,2,5,4,5,1,4,4,66,3,3,1,4,1,2,1,0
1,36,1,4,3342,1,5,4,5,1,2,2,51,3,3,1,3,1,2,1,1
3,6,1,9,932,1,4,1,2,1,3,3,39,3,3,2,2,1,1,1,1
2,18,2,10,3104,2,4,3,5,1,1,3,31,1,3,1,3,1,2,1,1
4,36,3,4,3913,2,3,2,5,1,2,4,23,3,3,1,3,1,2,1,1
2,24,3,3,3021,2,3,2,1,1,2,4,24,3,2,1,2,1,1,1,1
1,10,3,1,1364,2,3,2,2,1,4,2,64,3,3,1,3,1,2,1,1
3,12,3,4,625,2,2,4,3,3,1,4,26,1,3,1,2,1,1,1,1
2,12,3,7,1200,1,3,4,2,1,4,3,23,1,2,1,3,1,2,1,1
1,12,3,4,707,2,3,4,5,1,2,4,30,1,3,2,3,1,1,1,1
1,24,0,10,2978,1,3,4,5,1,4,4,32,3,3,2,3,2,2,1,1
1,15,3,2,4657,2,3,3,5,1,2,2,30,3,3,1,3,1,2,1,1
1,36,2,6,2613,2,3,4,5,1,2,2,27,3,3,2,3,1,1,1,1
3,48,3,4,10961,5,4,1,5,2,2,1,27,1,3,2,3,1,2,1,0
2,12,3,3,7865,2,5,4,5,1,4,1,53,3,1,1,4,1,2,1,0
1,9,3,4,1478,2,4,4,5,1,2,2,22,3,3,1,3,1,1,1,0
2,24,3,3,3149,2,2,4,5,1,1,1,22,1,1,1,3,1,1,1,1
4,36,3,4,4210,2,3,4,5,1,2,2,26,3,3,1,3,1,1,1,0
1,9,3,1,2507,4,5,2,5,1,4,1,51,3,1,1,2,1,1,1,1
1,12,3,4,2141,3,4,3,5,1,1,1,35,3,3,1,3,1,1,1,1
3,18,3,4,866,2,3,4,3,3,2,4,25,3,3,1,2,1,1,1,1
1,4,1,4,1544,2,4,2,5,1,1,4,42,3,3,3,2,2,1,1,1
2,24,3,4,1823,2,1,4,5,1,2,2,30,2,3,1,4,2,1,1,0
3,6,3,1,14555,1,1,1,5,1,2,3,23,3,3,1,1,1,2,1,0
3,21,3,10,2767,3,5,4,1,1,2,2,61,1,2,2,2,1,1,1,0
1,12,1,4,1291,2,3,4,2,1,2,3,35,3,3,2,3,1,1,1,1
2,30,3,4,2522,2,5,1,5,3,3,3,39,3,3,1,3,2,1,1,1
2,24,3,1,915,1,5,4,2,1,2,2,29,1,3,1,3,1,1,1,0
1,6,3,4,1595,2,4,3,5,1,2,3,51,3,3,1,3,2,1,1,1
2,48,2,2,4605,2,5,3,5,1,4,1,24,3,1,2,3,2,1,1,0
1,12,1,10,1185,2,3,3,2,1,2,4,27,3,3,2,3,1,1,1,1
1,12,4,9,3447,4,3,4,2,1,3,4,35,3,3,1,2,2,1,1,1
1,24,3,10,1258,2,4,4,5,1,1,4,25,3,3,1,3,1,2,1,1
1,12,1,4,717,2,5,4,5,1,4,4,52,3,3,3,3,1,1,1,1
1,6,2,1,1204,3,3,4,5,1,1,1,35,1,2,1,3,1,1,2,1
4,24,3,3,1925,2,3,2,5,1,2,4,26,3,3,1,3,1,1,1,1
1,18,3,4,433,2,1,3,2,2,4,4,22,3,2,1,3,1,1,1,0
2,6,1,1,666,5,4,3,2,1,4,4,39,3,3,2,2,1,2,1,1
4,12,3,3,2251,2,3,1,2,1,2,2,46,3,3,1,2,1,1,1,1
3,30,3,1,2150,2,3,4,2,3,2,1,24,1,3,1,3,1,1,1,0
1,24,0,3,4151,3,3,2,5,1,3,3,35,3,3,2,3,1,1,1,1
3,9,3,3,2030,1,4,2,5,1,1,2,24,3,3,1,3,1,2,1,1
3,60,0,4,7418,1,3,1,5,1,1,4,27,3,3,1,2,1,1,1,1
1,24,1,4,2684,2,3,4,5,1,2,4,35,3,3,2,2,1,1,1,1
2,12,4,4,2149,2,3,4,1,1,1,1,29,3,1,1,3,1,1,1,0
1,15,3,2,3812,3,2,1,2,1,4,2,23,3,3,1,3,1,2,1,1
1,11,1,4,1154,3,1,4,2,1,4,4,57,3,3,3,2,1,1,1,1
2,12,3,3,1657,2,3,2,5,1,2,4,27,3,3,1,3,1,1,1,1
2,24,3,4,1603,2,5,4,2,1,4,2,55,3,3,1,3,1,1,1,1
2,18,1,1,5302,2,5,2,5,1,4,1,36,3,1,3,4,1,2,1,1
1,12,1,7,2748,2,5,2,2,1,4,1,57,1,1,3,2,1,1,1,1
1,10,1,1,1231,2,5,3,5,1,4,4,32,3,3,2,2,2,1,2,1
3,15,3,4,802,2,5,4,5,1,3,2,37,3,3,1,3,2,1,1,0
1,36,1,10,6304,1,5,4,5,1,4,4,36,3,3,2,3,1,1,1,1
1,24,3,4,1533,2,2,4,2,1,3,2,38,2,3,1,3,1,2,1,1
2,14,3,1,8978,2,5,1,1,1,4,3,45,3,3,1,4,1,2,2,0
1,24,3,4,999,1,5,4,5,1,2,2,25,3,3,2,3,1,1,1,1
1,18,3,1,2662,1,4,4,5,1,3,3,32,3,3,1,3,1,1,2,1
1,12,1,3,1402,4,4,3,2,1,4,2,37,3,2,1,3,1,2,1,1
3,48,4,1,12169,1,1,4,5,2,4,1,36,3,1,1,4,1,2,1,1
3,48,3,4,3060,2,4,4,5,1,4,4,28,3,3,2,3,1,1,1,0
2,30,3,6,11998,2,2,1,1,1,1,1,34,3,3,1,2,1,2,1,0
1,9,3,4,2697,2,3,1,5,1,2,4,32,3,3,1,3,2,1,1,1
1,18,1,4,2404,2,3,2,2,1,2,2,26,3,3,2,3,1,1,1,1
2,12,3,3,1262,1,5,2,1,1,4,3,49,3,3,1,2,1,2,1,1
1,6,3,3,4611,2,2,1,2,1,4,3,32,3,3,1,3,1,1,1,0
1,24,3,4,1901,3,3,4,5,1,4,2,29,3,2,1,4,1,2,1,1
1,15,1,2,3368,5,5,3,5,1,4,1,23,3,2,2,3,1,2,1,1
1,12,3,3,1574,2,3,4,5,1,2,4,50,3,3,1,3,1,1,1,1
4,18,4,4,1445,1,4,4,5,1,4,2,49,1,3,1,2,1,1,1,1
1,15,1,3,1520,1,5,4,5,1,4,3,63,3,3,1,3,1,1,1,1
3,24,1,1,3878,3,2,4,1,1,2,2,37,3,3,1,3,1,2,1,1
2,47,3,1,10722,2,2,1,2,1,1,4,35,3,3,1,2,1,2,1,1
2,48,3,2,4788,2,4,4,5,1,3,3,26,3,3,1,3,2,1,1,1
3,48,0,0,7582,3,1,2,5,1,4,1,31,3,1,1,4,1,2,1,1
3,12,3,4,1092,2,3,4,2,3,4,4,49,3,3,2,3,1,2,1,1
2,24,0,4,1024,2,2,4,3,1,4,4,48,2,3,1,3,1,1,1,0
1,12,3,10,1076,2,3,2,3,1,2,4,26,3,3,1,3,1,2,2,1
3,36,3,2,9398,2,2,1,3,1,4,2,28,3,2,1,4,1,2,1,0
2,24,1,2,6419,2,5,2,2,1,4,1,44,3,1,2,4,2,2,1,1
4,42,1,2,4796,2,5,4,5,1,4,1,56,3,1,1,3,1,1,1,1
1,48,1,10,7629,1,5,4,1,1,2,2,46,1,3,2,4,2,1,1,1
3,48,3,3,9960,2,2,1,2,1,2,2,26,3,3,1,3,1,2,1,0
1,12,3,2,4675,1,2,1,2,1,4,2,20,3,2,1,3,1,1,1,1
1,10,3,1,1287,1,5,4,5,2,2,3,45,3,3,1,2,1,1,2,1
1,18,3,3,2515,2,3,3,5,1,4,4,43,3,3,1,3,1,2,1,1
3,21,1,3,2745,5,4,3,5,1,2,2,32,3,3,2,3,1,2,1,1
1,6,3,1,672,2,1,1,2,1,4,4,54,3,3,1,1,1,2,1,1
3,36,2,4,3804,2,3,4,2,1,1,2,42,3,3,1,3,1,2,1,0
4,24,1,1,1344,1,4,4,5,1,2,4,37,1,3,2,2,2,1,1,0
2,10,1,1,1038,2,4,4,5,2,3,3,49,3,3,2,3,1,2,1,1
1,48,1,1,10127,4,3,2,5,1,2,1,44,1,1,1,3,1,1,1,0
1,6,3,3,1543,5,3,4,1,1,2,4,33,3,3,1,3,1,1,1,1
1,30,3,2,4811,1,4,2,2,1,4,3,24,2,2,1,2,1,1,1,1
2,12,3,4,727,3,2,4,3,1,3,1,33,3,3,1,2,1,2,1,0
3,8,3,3,1237,2,3,3,2,1,4,4,24,3,3,1,3,1,1,1,0
3,9,3,1,276,2,3,4,3,1,4,4,22,3,2,1,2,1,1,1,1
3,48,3,0,5381,1,1,3,5,1,4,1,40,1,1,1,1,1,2,1,1
1,24,3,3,5511,3,3,4,5,1,1,2,25,2,3,1,3,1,1,1,1
4,24,3,3,3749,2,2,2,2,1,4,2,26,3,3,1,3,1,1,1,1
3,12,3,1,685,2,4,2,3,1,3,2,25,1,3,1,2,1,1,1,0
4,4,3,1,1494,1,2,1,5,1,2,4,29,3,3,1,2,2,1,2,1
2,36,4,3,2746,2,5,4,5,1,4,2,31,1,3,1,3,1,1,1,0
2,12,3,3,708,2,3,2,5,3,3,3,38,3,3,1,2,2,1,1,1
3,24,3,3,4351,1,3,1,2,1,4,3,48,3,3,1,2,1,2,1,1
1,12,1,7,701,2,3,4,5,1,2,2,32,3,3,2,3,1,1,1,1
2,15,0,3,3643,2,5,1,2,1,4,3,27,3,3,2,2,1,1,1,1
3,30,1,1,4249,2,1,4,3,1,2,2,28,3,3,2,4,1,1,1,0
2,24,3,4,1938,2,2,4,1,1,3,3,32,3,3,1,3,1,1,1,0
